pointId Ascore actuallabel
0 0.507844 0
1 0.433296 0
2 0.412294 0
3 0.40818 0
4 0.414391 0
5 0.413535 0
6 0.421792 0
7 0.419928 0
8 0.414781 1
9 0.429039 1
10 0.426669 1
11 0.4172 1
12 0.426576 1
13 0.421422 1
14 0.415598 1
15 0.423806 1
16 0.433648 1
17 0.43199 1
18 0.420414 0
19 0.418918 0
20 0.421193 0
21 0.414973 0
22 0.426098 0
23 0.43641 0
24 0.422549 0
25 0.432 0
26 0.424823 0
27 0.422556 0
28 0.421846 0
29 0.415821 0
30 0.41647 0
31 0.421779 0
32 0.41105 0
33 0.411235 0
34 0.414137 0
35 0.44162 0
36 0.420365 0
37 0.408715 0
38 0.417811 0
39 0.414672 0
40 0.414103 0
41 0.406387 0
42 0.412349 0
43 0.449399 1
44 0.46115 1
45 0.478637 1
46 0.447963 0
47 0.43533 0
48 0.420304 0
49 0.413915 0
50 0.45653 1
51 0.468394 1
52 0.48919 1
53 0.494109 1
54 0.504028 0
55 0.484949 0
56 0.458168 0
57 0.433594 0
58 0.412106 0
59 0.4234 0
60 0.430986 0
61 0.422147 0
62 0.4265 0
63 0.416536 1
64 0.421729 1
65 0.425022 1
66 0.420653 1
67 0.419504 1
68 0.411967 1
69 0.40739 1
70 0.431362 1
71 0.47155 1
72 0.57961 1
73 0.559612 0
74 0.506584 0
75 0.425439 0
76 0.408944 0
77 0.416001 0
78 0.424242 0
79 0.432965 0
80 0.438966 0
81 0.449168 0
82 0.440113 0
83 0.429959 0
84 0.424448 0
85 0.416805 0
86 0.429745 0
87 0.430601 0
88 0.418028 0
89 0.415175 0
90 0.41938 0
91 0.41442 0
92 0.422202 0
93 0.412075 0
94 0.418918 0
95 0.419612 0
96 0.419969 0
97 0.417286 0
98 0.41525 0
99 0.403275 0
100 0.416901 0
101 0.412619 0
102 0.41425 0
103 0.457353 0
104 0.436374 0
105 0.447995 0
106 0.436567 0
107 0.419561 0
108 0.412495 0
109 0.430116 1
110 0.455432 1
111 0.467507 1
112 0.478611 1
113 0.498228 1
114 0.501767 1
115 0.513497 0
116 0.50646 0
117 0.502179 0
118 0.502683 0
119 0.463177 0
120 0.41497 0
121 0.40961 0
122 0.412988 0
123 0.41275 0
124 0.418068 1
125 0.417332 1
126 0.428236 1
127 0.418152 1
128 0.417929 1
129 0.417581 1
130 0.427358 1
131 0.420358 1
132 0.56051 1
133 0.582776 1
134 0.59432 1
135 0.54522 1
136 0.488784 0
137 0.438313 0
138 0.413581 0
139 0.412399 0
140 0.414067 0
141 0.413608 0
142 0.4172 0
143 0.417827 0
144 0.423192 0
145 0.432625 0
146 0.435782 0
147 0.422991 0
148 0.424762 0
149 0.423123 0
150 0.422568 0
151 0.418042 0
152 0.418323 0
153 0.418162 0
154 0.415519 0
155 0.419408 0
156 0.415067 0
157 0.425113 0
158 0.414356 0
159 0.414117 0
160 0.414058 0
161 0.424708 0
162 0.416878 0
163 0.410352 0
164 0.417845 0
165 0.418704 0
166 0.408074 0
167 0.418924 0
168 0.41003 0
169 0.413845 0
170 0.410651 0
171 0.406611 0
172 0.412972 0
173 0.435904 0
174 0.410124 0
175 0.422771 0
176 0.434366 0
177 0.44734 0
178 0.454359 0
179 0.415083 0
180 0.419258 1
181 0.455363 1
182 0.463525 1
183 0.467673 1
184 0.48437 1
185 0.510343 1
186 0.443542 0
187 0.485832 0
188 0.509706 0
189 0.486031 0
190 0.428155 0
191 0.407993 0
192 0.407855 0
193 0.429597 1
194 0.421489 1
195 0.427571 1
196 0.420856 1
197 0.428728 1
198 0.422492 1
199 0.421886 1
200 0.422569 1
201 0.421667 1
202 0.432382 1
203 0.542786 1
204 0.598075 1
205 0.574577 1
206 0.568406 1
207 0.521844 1
208 0.557963 1
209 0.550623 1
210 0.429406 0
211 0.409499 0
212 0.41115 0
213 0.415187 0
214 0.434377 0
215 0.421276 0
216 0.423993 0
217 0.414593 0
218 0.414 0
219 0.417843 0
220 0.414415 0
221 0.421699 0
222 0.419244 0
223 0.426705 0
224 0.417114 0
225 0.415277 0
226 0.41046 0
227 0.416172 0
228 0.420363 0
229 0.417074 0
230 0.435988 0
231 0.415532 0
232 0.416441 0
233 0.403214 0
234 0.414249 0
235 0.423294 0
236 0.40879 0
237 0.4314 0
238 0.443823 0
239 0.439894 0
240 0.415829 0
241 0.417779 0
242 0.426608 0
243 0.443355 0
244 0.44233 1
245 0.458911 0
246 0.491522 1
247 0.504473 0
248 0.477491 0
249 0.508098 0
250 0.523897 0
251 0.53888 0
