	500	2	
0	2.66694708635137	2.50784382755349	0
1	3.17484512089695	2.73469442813852	0
2	1.94827408095901	2.2200447280202	0
3	1.95233662660465	1.90128762149164	0
4	1.89659525481006	1.81313629713981	0
5	2.56482723767271	1.98943571208484	0
6	1.79914758395654	1.82761255556245	0
7	2.16807368925311	2.10186545906028	0
8	2.03873685642423	2.09454062990054	0
9	2.54080898732017	2.3341319873591	0
10	2.86142259335717	2.8823405854613	0
11	1.59652553811051	1.94681492994651	0
12	2.97740449818076	3.34189930995168	0
13	1.82009890286205	1.79675175286148	0
14	2.81257741382428	3.00820218690343	0
15	2.21564900283211	1.33609522675627	0
16	1.80434271104312	1.97240267524328	0
17	2.98596674488781	2.99965373931623	0
18	2.09900167816541	1.72673462281737	0
19	2.69551537210171	2.92375909053639	0
20	1.51593004853837	2.04719464919846	0
21	3.08264418906859	3.23731161838956	0
22	3.24313394728563	3.53346706180113	0
23	2.23296209352858	2.08499124595032	0
24	2.93949504253244	3.37956529258893	0
25	3.67405601314089	2.9815188334299	0
26	2.267127349829	1.88665354903715	0
27	1.87258695456209	1.8904814245972	0
28	3.12027878159721	3.6898387785054	0
29	2.90621322083468	2.69345095205425	0
30	2.05206874451921	2.24415975912093	0
31	2.20539642801245	2.00132316157484	0
32	2.82591833653473	2.92740072479903	0
33	2.96702284005501	3.10119045301012	0
34	3.04598137358508	2.9036275599061	0
35	2.11578258232965	2.06977394109811	0
36	2.02443124192871	2.14573841993832	0
37	1.99391846890027	1.81549227269858	0
38	1.95373658224766	1.79808787809591	0
39	1.82382493103594	2.23581518124237	0
40	2.87524584050145	3.00533780596089	0
41	1.75362231557896	1.6320412481341	0
42	3.50351503872962	2.92330855599325	0
43	1.93306661577651	1.7179971671325	0
44	2.64452003208989	3.4994890199375	0
45	2.99628557416132	3.2053514842562	0
46	2.21420765297567	1.83724360167496	0
47	1.63836632510915	2.20007448733501	0
48	1.99017929544313	1.7079766255647	0
49	2.56441095054769	2.67418931147192	0
50	1.73231184462236	2.26361293173278	0
51	1.97538686889364	1.83413042840947	0
52	2.16082861626573	1.60734414784164	0
53	2.2302147059452	2.07968191323576	0
54	2.90732399919489	2.76359605111093	0
55	2.17344328817253	1.96010664046343	0
56	1.70278518555399	1.87329591142533	0
57	2.19294763780342	2.20587603849093	0
58	3.09188622400557	3.04757788939848	0
59	3.29534465032207	2.84202406049871	0
60	1.36175254604148	2.16340464886009	0
61	2.78685353820734	3.00573993890199	0
62	1.71829354781081	1.81733056178379	0
63	2.5674386559969	1.63640858135031	0
64	2.88717424072437	3.06642199374156	0
