pointId Ascore actuallabel
0 0.296749 1
1 0.166783 0
2 0.564601 0
3 0.33458 0
4 0.118026 0
5 0.684315 0
6 0.124019 0
7 0.202863 0
8 0.123041 0
9 0.129458 0
10 0.254718 0
11 0.18704 0
12 0.129334 0
13 0.126636 0
14 0.143363 0
15 0.143516 0
16 0.180887 0
17 0.154505 0
18 0.221678 0
19 0.323098 0
20 0.124839 0
21 0.346124 0
22 0.123521 0
23 0.381098 0
24 0.124986 0
25 0.118089 0
26 0.225196 0
27 0.138411 0
28 0.185714 0
29 0.141827 0
30 0.167677 0
31 0.105326 0
32 0.10102 0
33 0.418234 0
34 0.627563 0
35 0.319939 0
36 0.140266 0
37 0.455289 0
38 0.141609 0
39 0.135634 0
40 0.0998331 0
41 0.143834 0
42 0.135796 0
43 0.169052 0
44 0.176378 0
45 0.174229 0
46 0.126551 0
47 0.118237 0
48 0.12007 0
49 0.169806 0
50 0.173785 0
51 0.151082 0
52 0.221291 0
53 0.16883 0
54 0.113381 0
55 0.238326 0
56 0.162343 0
57 0.226788 0
58 0.270702 0
59 0.170295 0
60 0.126051 0
61 0.48151 0
62 0.451029 0
63 0.285492 0
64 0.210156 0
65 0.12697 0
66 0.242024 0
67 0.125865 0
68 0.204078 0
69 0.123883 0
70 0.0964246 0
71 0.195956 0
72 0.125178 0
73 0.12588 0
74 0.134509 0
75 0.611927 0
76 0.497628 0
77 0.100842 0
78 0.0959261 0
79 0.19809 0
80 0.165258 0
81 0.116173 0
82 0.101282 0
83 0.171345 0
84 0.676111 0
85 0.159436 0
86 0.570959 0
87 0.111076 0
88 0.265631 0
89 0.11058 0
90 0.235457 0
91 0.175987 0
92 0.128001 0
93 0.134213 0
94 0.114028 0
95 0.165379 0
96 0.447946 0
97 0.365993 0
98 0.145039 0
99 0.187757 0
100 0.144597 0
101 0.366594 0
102 0.727843 0
103 0.41723 0
104 0.523382 0
105 0.233356 0
106 0.162967 0
107 0.211237 0
108 0.106494 0
109 0.236818 0
110 0.300673 0
111 0.256174 0
112 0.61012 0
113 0.136489 0
114 0.146806 0
115 0.131342 0
116 0.399973 0
117 0.216732 0
118 0.243766 0
119 0.419487 0
120 0.128536 0
121 0.248032 0
122 0.168156 0
123 0.107156 0
124 0.622381 0
125 0.117992 0
126 0.756124 0
127 0.207097 0
128 0.349687 0
129 0.12731 0
130 0.267953 0
131 0.114958 0
132 0.18033 0
133 0.132198 0
134 0.143907 0
135 0.426624 0
136 0.182737 0
137 0.184995 0
138 0.302854 0
139 0.201498 0
140 0.14606 0
141 0.144019 0
142 0.132684 0
143 0.132644 0
144 0.221379 0
145 0.0994868 0
146 0.127866 0
147 0.107922 0
148 0.1492 0
149 0.179792 0
150 0.626379 0
151 0.18301 0
152 0.223234 0
153 0.123578 0
154 0.121975 0
155 0.166874 0
156 0.276118 0
157 0.69205 0
158 0.108772 0
159 0.180076 0
160 0.129978 0
161 0.147647 0
162 0.179835 0
163 0.165874 0
164 0.196069 0
165 0.160063 0
166 0.226022 0
167 0.285589 0
168 0.727529 0
169 0.72434 0
170 0.180101 0
171 0.150702 0
172 0.106827 0
173 0.0950613 0
174 0.206425 0
175 0.196512 0
176 0.136787 0
177 0.141045 0
178 0.11387 0
179 0.127802 0
180 0.157786 0
181 0.482341 0
182 0.136395 0
183 0.627073 0
184 0.136385 0
185 0.121056 0
186 0.116586 0
187 0.342487 0
188 0.45824 0
189 0.452224 0
190 0.123554 0
191 0.339168 0
192 0.104764 0
193 0.0949562 0
194 0.160359 0
195 0.486478 0
196 0.151145 0
197 0.204201 0
198 0.45926 0
199 0.368132 0
200 0.237118 0
201 0.171839 0
202 0.130042 0
203 0.52339 0
204 0.159587 0
205 0.336746 0
206 0.328798 0
207 0.718234 0
208 0.170268 0
209 0.463451 0
210 0.223346 0
211 0.130082 0
212 0.376054 0
213 0.150406 0
214 0.118267 0
215 0.25931 0
216 0.118272 0
217 0.200868 0
218 0.163946 0
219 0.40888 0
220 0.395321 0
221 0.27308 0
222 0.14851 0
223 0.174013 0
224 0.198716 0
225 0.167678 0
226 0.126101 0
227 0.192461 0
228 0.167014 0
229 0.140188 0
230 0.153364 0
231 0.186175 0
232 0.0979171 0
233 0.403683 0
234 0.12331 0
235 0.116395 0
236 0.309382 0
237 0.12645 0
238 0.67979 0
239 0.128403 0
240 0.204337 0
241 0.16665 0
242 0.309458 0
243 0.445564 0
244 0.185479 0
245 0.136825 0
246 0.147899 0
247 0.405488 0
248 0.487877 0
249 0.222572 0
250 0.298813 0
251 0.136221 0
252 0.120391 0
253 0.125175 0
254 0.146514 0
255 0.305735 0
256 0.197765 0
257 0.135295 0
258 0.163435 0
259 0.130916 0
260 0.22247 0
261 0.28862 0
262 0.177198 0
263 0.216249 0
264 0.281264 0
265 0.30163 0
266 0.124231 0
267 0.139881 0
268 0.131028 0
269 0.35889 0
270 0.208716 0
271 0.454989 0
272 0.677071 0
273 0.155145 0
274 0.300941 0
275 0.250105 0
276 0.342982 0
277 0.116965 0
278 0.195951 0
279 0.159881 0
280 0.152934 0
281 0.312942 0
282 0.849139 0
283 0.136358 0
284 0.194366 0
285 0.136841 0
286 0.302884 0
287 0.144456 0
288 0.108186 0
289 0.12387 0
290 0.1307 0
291 0.15125 0
292 0.140715 0
293 0.331315 0
294 0.673721 0
295 0.134614 0
296 0.307702 0
297 0.229639 0
298 0.166368 0
299 0.197294 0
300 0.177715 0
301 0.147711 0
302 0.300995 0
303 0.114721 0
304 0.464143 0
305 0.126215 0
306 0.130961 0
307 0.53127 0
308 0.29794 0
309 0.134521 0
310 0.376308 0
311 0.140598 0
312 0.155146 0
313 0.14989 0
314 0.311536 0
315 0.224588 0
316 0.129481 0
317 0.130968 0
318 0.146007 0
319 0.137817 0
320 0.224042 0
321 0.233958 0
322 0.225077 0
323 0.53316 0
324 0.134947 0
325 0.32762 0
326 0.418645 0
327 0.135766 0
328 0.144097 0
329 0.250184 0
330 0.710797 0
331 0.19885 0
332 0.13662 0
333 0.174455 0
334 0.155411 0
335 0.340219 0
336 0.12516 0
337 0.157728 0
338 0.114623 0
339 0.147777 0
340 0.161401 0
341 0.629576 0
342 0.448874 0
343 0.134427 0
344 0.144877 0
345 0.135938 0
346 0.124257 0
347 0.129395 0
348 0.235675 0
349 0.169857 0
350 0.295084 0
351 0.204482 0
352 0.123093 0
353 0.45804 0
354 0.243011 0
355 0.720531 0
356 0.12475 0
357 0.247549 0
358 0.142876 0
359 0.108698 0
360 0.531084 0
361 0.122615 0
362 0.182226 0
363 0.1186 0
364 0.117043 0
365 0.177349 0
366 0.755812 0
367 0.196964 0
368 0.146475 0
369 0.729092 0
370 0.128393 0
371 0.319955 0
372 0.18004 0
373 0.122717 0
374 0.155609 0
375 0.276875 0
376 0.214009 0
377 0.133016 0
378 0.181778 0
379 0.129208 0
380 0.324032 0
381 0.458323 0
382 0.371757 0
383 0.134859 0
384 0.505162 0
385 0.145081 0
386 0.146176 0
387 0.147201 0
388 0.226205 0
389 0.37225 0
390 0.183941 0
391 0.130562 0
392 0.418942 0
393 0.149863 0
394 0.178978 0
395 0.383287 0
396 0.117442 0
397 0.308317 0
398 0.17798 0
399 0.132597 0
400 0.172458 0
401 0.226977 0
402 0.131238 0
403 0.367438 0
404 0.244003 0
405 0.206135 0
406 0.188627 0
407 0.509644 0
408 0.147676 0
409 0.128317 0
410 0.125141 0
411 0.179317 0
412 0.149575 0
413 0.157879 0
414 0.188236 0
415 0.147352 0
416 0.124759 0
417 0.130932 0
418 0.123132 0
419 0.126902 0
420 0.319062 0
421 0.30249 0
422 0.526079 0
423 0.231868 0
424 0.123835 0
425 0.136773 0
426 0.123172 0
427 0.52941 0
428 0.175421 0
429 0.131791 0
430 0.161769 0
431 0.295276 0
432 0.131091 0
433 0.116259 0
434 0.119802 0
435 0.380448 0
436 0.430639 0
437 0.146284 0
438 0.132324 0
