pointId anomalyscoreactuallabel
0 0.416635 0
1 0.417769 0
2 0.376364 0
3 0.370704 0
4 0.376331 0
5 0.399021 0
6 0.397677 0
7 0.371635 0
8 0.372149 0
9 0.398174 0
10 0.392655 0
11 0.444179 0
12 0.388504 0
13 0.390561 0
14 0.403207 0
15 0.590498 0
16 0.385795 0
17 0.388893 0
18 0.391907 0
19 0.410726 0
20 0.466791 0
21 0.388863 0
22 0.388863 0
23 0.372221 0
24 0.38689 0
25 0.389699 0
26 0.384716 0
27 0.376243 0
28 0.388863 0
29 0.406404 0
30 0.379108 0
31 0.373512 0
32 0.392398 0
33 0.387718 0
34 0.389132 0
35 0.366762 0
36 0.372244 0
37 0.375572 0
38 0.379585 0
39 0.387406 0
40 0.390205 0
41 0.472752 0
42 0.389132 0
43 0.401171 0
44 0.422864 0
45 0.388863 0
46 0.384559 0
47 0.435899 0
48 0.400661 0
49 0.413314 0
50 0.421713 0
51 0.373011 0
52 0.460456 0
53 0.371691 0
54 0.409325 0
55 0.379275 0
56 0.434938 0
57 0.376741 0
58 0.388863 0
59 0.404291 0
60 0.504622 0
61 0.409145 0
62 0.436889 0
63 0.469547 0
64 0.389684 0
65 0.598368 0
66 0.382315 0
67 0.389239 0
68 0.389132 0
69 0.440331 0
70 0.443429 0
71 0.372149 0
72 0.415523 0
73 0.419633 0
74 0.399062 0
75 0.389239 0
76 0.402254 0
77 0.429669 0
78 0.413248 0
79 0.414304 0
80 0.389786 0
81 0.396156 0
82 0.393694 0
83 0.388863 0
84 0.404442 0
85 0.388863 0
86 0.438989 0
87 0.44705 0
88 0.388863 0
89 0.370161 0
90 0.426223 0
91 0.386737 0
92 0.371245 0
93 0.419192 0
94 0.394643 0
95 0.407472 0
96 0.439671 0
97 0.389194 0
98 0.388863 0
99 0.389298 0
100 0.396236 0
101 0.376525 0
102 0.43939 0
103 0.455066 0
104 0.388863 0
105 0.389132 0
106 0.418853 0
107 0.455333 0
108 0.452726 0
109 0.373641 0
110 0.372682 0
111 0.460456 0
112 0.388863 0
113 0.382385 0
114 0.375774 0
115 0.388773 0
116 0.397548 0
117 0.387232 0
118 0.408239 0
119 0.371346 0
120 0.446882 0
121 0.462885 0
122 0.370659 0
123 0.388863 0
124 0.418732 0
125 0.449139 0
126 0.415451 0
127 0.396236 0
128 0.387232 0
129 0.388768 0
130 0.389194 0
131 0.39482 0
132 0.412357 0
133 0.460456 0
134 0.408675 0
135 0.391963 0
136 0.431569 0
137 0.390051 0
138 0.592616 0
139 0.428067 0
140 0.372634 0
141 0.405882 0
142 0.369232 0
143 0.396156 0
144 0.402188 0
145 0.419494 0
146 0.386912 0
147 0.388863 0
148 0.371691 0
149 0.388863 0
150 0.369418 0
151 0.388863 0
152 0.388863 0
153 0.403167 0
154 0.388863 0
155 0.388863 0
156 0.425805 0
157 0.404291 0
158 0.398288 0
159 0.392639 0
160 0.399437 0
161 0.388863 0
162 0.382946 0
163 0.416777 0
164 0.487694 0
165 0.405475 0
166 0.415451 0
167 0.386108 0
168 0.376462 0
169 0.402661 0
170 0.388863 0
171 0.409264 0
172 0.411479 0
173 0.431806 0
174 0.404512 0
175 0.375009 0
176 0.405373 0
177 0.419873 0
178 0.461005 0
179 0.378959 0
180 0.406012 0
181 0.407091 0
182 0.396236 0
183 0.366687 0
184 0.369862 0
185 0.382416 0
186 0.388768 0
187 0.487727 0
188 0.378405 0
189 0.449139 0
190 0.397171 0
191 0.372149 0
192 0.401312 0
193 0.371793 0
194 0.393832 0
195 0.388773 0
196 0.388863 0
197 0.407886 0
198 0.388556 0
199 0.463871 0
200 0.387762 0
201 0.425137 0
202 0.419965 0
203 0.388863 0
204 0.411122 0
205 0.387718 0
206 0.388863 0
207 0.415657 0
208 0.388863 0
209 0.39134 0
210 0.388863 0
211 0.388863 0
212 0.443566 0
213 0.4172 0
214 0.417992 0
215 0.455167 0
216 0.368714 0
217 0.474546 0
218 0.387396 0
219 0.388768 0
220 0.388863 0
221 0.527676 0
222 0.386958 0
223 0.376207 0
224 0.38149 0
225 0.37161 0
226 0.389132 0
227 0.459183 0
228 0.370384 0
